Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5586-46	2020-07-31	2020-08-03	WAL-MART # 3031	69.55	CAD	69.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02854	C-GENERAL-SPORTS & REC-YOUTH-SP. NEEDS.	5310	Discount Stores	VITRUAL CAMP CRAFT SUPPLIES
					127.75	CAD	127.75	CAD							
"PARKS, FORESTRY & RECREATION"	5587-5	2020-07-31	2020-08-04	CDN TIRE STORE #00070	60.90	CAD	60.90	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P07744	GUS RYDER POOL&HLTH CLUB-PRGM SUPP	5200	Home Supply Warehouse	DESK SUPPLIES
"PARKS, FORESTRY & RECREATION"	5599-19	2020-08-18	2020-08-19	IKEA ETOBICOKE	303.97	CAD	303.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07511	GUS RYDER HLTH CLUB-FITNESS	5712	"Equipment, Furniture, and Home Furnishin"	STORAGE UNIT FOR PATRON BELONGINGS
"PARKS, FORESTRY & RECREATION"	5604-16	2020-08-24	2020-08-26	CDN TIRE STORE #00070	60.96	CAD	60.96	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07744	GUS RYDER POOL&HLTH CLUB-PRGM SUPP	5200	Home Supply Warehouse	"TAPE, SPRAY FOR LINE TO SOCIAL DISTANCING"
					425.83	CAD	425.83	CAD							
"PARKS, FORESTRY & RECREATION"	5586-47	2020-08-01	2020-08-03	AMZN MKTP CA MF9HL10U1	45.74	CAD	45.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05109	NORSEMAN CS-SUMMER CAMPS	4816	Computer Network/Information Services	CHILD SCISSOR
"PARKS, FORESTRY & RECREATION"	5588-15	2020-08-04	2020-08-05	MICHAELS #4921	29.59	CAD	29.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05109	NORSEMAN CS-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	"COLOURED YARN, MOD PODGE"
					75.33	CAD	75.33	CAD							
"PARKS, FORESTRY & RECREATION"	5606-22	2020-08-25	2020-08-28	WF  WAYFAIR 3404868605	"1,028.28"	CAD	"1,028.28"	CAD	4233	PCARD RECOVERIES	P04338	OAKDALE CC-HOLIDAY CAMPS	5712	"Equipment, Furniture, and Home Furnishin"	DISPUTED
"PARKS, FORESTRY & RECREATION"	5606-23	2020-08-24	2020-08-28	WF  WAYFAIR 2066801295	"2,409.10"	CAD	"2,409.10"	CAD	4233	PCARD RECOVERIES	P04338	OAKDALE CC-HOLIDAY CAMPS	5712	"Equipment, Furniture, and Home Furnishin"	DISPUTED
					"3,437.38"	CAD	"3,437.38"	CAD							
"PARKS, FORESTRY & RECREATION"	5586-48	2020-07-30	2020-08-03	CDN TIRE STORE #00192	141.23	CAD	141.23	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P03007	LEASIDE GDNS COMPLEX-LSURE/PBLC-INDR	5200	Home Supply Warehouse	FAN
"PARKS, FORESTRY & RECREATION"	5586-49	2020-07-30	2020-08-03	CDN TIRE STORE #00192	84.74	CAD	84.74	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P02544	DENNIS R TIMBRELL RC-LEISURE/PBLC-INDR	5200	Home Supply Warehouse	FAN
"PARKS, FORESTRY & RECREATION"	5586-50	2020-07-30	2020-08-03	CDN TIRE STORE #00192	47.45	CAD	47.45	CAD	4810	TELEPHONE	P02548	GRANDRAVINE-LEISURE/PBLC-INDR	5200	Home Supply Warehouse	PHONE
"PARKS, FORESTRY & RECREATION"	5589-30	2020-08-05	2020-08-06	DOLLARAMA # 800	6.60	CAD	6.60	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P02540	DOUGLAS SNOW-LEISURE/PBLC-INDR	5310	Discount Stores	SHOWER CURTAIN
"PARKS, FORESTRY & RECREATION"	5592-36	2020-08-06	2020-08-10	CDN TIRE STORE #00126	20.33	CAD	20.33	CAD	2575	ELECTRICAL SUPPLIES	P00705	N-CENTRAL-SPORTS & REC-AQ. LEIS. INDOOR	5200	Home Supply Warehouse	EXTENSION CORD
"PARKS, FORESTRY & RECREATION"	5592-37	2020-08-06	2020-08-10	CDN TIRE STORE #00126	90.39	CAD	90.39	CAD	2710	GENERAL HARDWARE	P02616	DOUGLAS SNOW-PRGM SUPPORT	5200	Home Supply Warehouse	WALL MOUNT
"PARKS, FORESTRY & RECREATION"	5594-22	2020-08-11	2020-08-12	AMZN MKTP CA MF1YV3DZ2	65.99	CAD	65.99	CAD	2110	PARTS - FURNITURE & FIXTURES	P01791	LEADERSHIP AQUATICS - NY DISTRICT	4816	Computer Network/Information Services	ACOUSTIC PANELS
"PARKS, FORESTRY & RECREATION"	5595-25	2020-08-13	2020-08-13	AMAZON.CA MM61O7NB1	9.06	CAD	9.06	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P01791	LEADERSHIP AQUATICS - NY DISTRICT	4816	Computer Network/Information Services	TAPE
"PARKS, FORESTRY & RECREATION"	5595-26	2020-08-13	2020-08-13	AMAZON.CA MF07887G2	27.18	CAD	27.18	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P01791	LEADERSHIP AQUATICS - NY DISTRICT	4816	Computer Network/Information Services	TAPE
"PARKS, FORESTRY & RECREATION"	5597-47	2020-08-15	2020-08-17	THE HOME DEPOT #7129	49.58	CAD	49.58	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P01791	LEADERSHIP AQUATICS - NY DISTRICT	5200	Home Supply Warehouse	HDMTGTP
"PARKS, FORESTRY & RECREATION"	5599-20	2020-08-17	2020-08-19	CDN TIRE STORE #00126	102.82	CAD	102.82	CAD	2110	PARTS - FURNITURE & FIXTURES	P02591	LEDBURY-LEISURE/PBLC-OUTDR	5200	Home Supply Warehouse	CANOPY
"PARKS, FORESTRY & RECREATION"	5599-21	2020-08-18	2020-08-19	DOLLARAMA # 800	6.27	CAD	6.27	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P02616	DOUGLAS SNOW-PRGM SUPPORT	5310	Discount Stores	ENVELOPES
"PARKS, FORESTRY & RECREATION"	5599-22	2020-08-18	2020-08-19	BEST BUY CANADA #927	146.89	CAD	146.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02734	NORTH TORONTO-LEISURE/PBLC-INDR	5732	Electronic Sales	WALKIE TALKIES
"PARKS, FORESTRY & RECREATION"	5599-23	2020-08-18	2020-08-19	AMZN MKTP CA MM4233FU0	65.99	CAD	65.99	CAD	2110	PARTS - FURNITURE & FIXTURES	P01791	LEADERSHIP AQUATICS - NY DISTRICT	4816	Computer Network/Information Services	ACOUSTIC PANELS
