Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
FACILITIES MANAGEMENT	5844-2	2021-07-08	2021-07-13	UNITED REFRIGERATION	135.60	CAD	135.60	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61707398	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	3 PHASE MONITOR
FACILITIES MANAGEMENT	5846-5	2021-07-12	2021-07-15	UNITED REFRIGERATION	59.08	CAD	59.08	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61706752	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PARTS 2
FACILITIES MANAGEMENT	5846-6	2021-07-12	2021-07-15	UNITED REFRIGERATION	154.91	CAD	154.91	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61703902	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PARTS USED
FACILITIES MANAGEMENT	5846-7	2021-07-12	2021-07-15	UNITED REFRIGERATION	211.40	CAD	211.40	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61707398	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	TEMPERATURE CONTROLLER
FACILITIES MANAGEMENT	5847-2	2021-07-13	2021-07-16	UNITED REFRIGERATION	47.64	CAD	47.64	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61712971	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	BELTS
FACILITIES MANAGEMENT	5855-5	2021-07-26	2021-07-28	UNITED REFRIGERATION	"1,269.81"	CAD	"1,269.81"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61715244	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	AC PARTS
FACILITIES MANAGEMENT	5855-6	2021-07-27	2021-07-28	THE MASTER GROUP CRANF	78.47	CAD	78.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61715292	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	AC DRAIN TRAPS
FACILITIES MANAGEMENT	5855-7	2021-07-27	2021-07-28	THE MASTER GROUP CRANF	462.24	CAD	462.24	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61715244	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	AC parts used
FACILITIES MANAGEMENT	5857-3	2021-07-29	2021-07-30	TORONTO PARKING AUTHOR	6.00	CAD	6.00	CAD	4770	PARKING EXPENSES (INTOWN)	61716229	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING RECEIPT
					"5,937.65"	CAD	"5,937.65"	CAD							
